ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Downloads;Price
195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press;2;269
2005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada;11;219
60973129;Decision in Normandy;Carlo D'Este;1991;HarperPerennial;25;199
374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;Farrar Straus Giroux;25;199
393045218;The Mummies of Urumchi;E. J. W. Barber;1999;"W. W. Norton &amp; Company";6;223,3
399135782;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group;1;176
425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;Berkley Publishing Group;6;123,2
671870432;PLEADING GUILTY;Scott Turow;1993;Audioworks;2;164
679425608;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;Random House;4;199
074322678X;Where You'll Find Me: And Other Stories;Ann Beattie;2002;Scribner;10;223,3
771074670;Nights Below Station Street;David Adams Richards;1988;Emblem Editions;25;199
080652121X;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Adam Lebor;2000;Citadel Press;2;219
887841740;The Middle Stories;Sheila Heti;2004;House of Anansi Press;13;199
1552041778;Jane Doe;R. J. Kaiser;1999;Mira Books;1;176
1558746218;A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series);Jack Canfield;1998;Health Communications;11;129
1567407781;The Witchfinder (Amos Walker Mystery Series);Loren D. Estleman;1998;Brilliance Audio - Trade;3;176
1575663937;More Cunning Than Man: A Social History of Rats and Man;Robert Hendrickson;1999;Kensington Publishing Corp.;2;176
1881320189;Goodbye to the Buttermilk Sky;Julia Oliver;1994;River City Pub;3;159
440234743;The Testament;John Grisham;1999;Dell;2;159
452264464;Beloved (Plume Contemporary Fiction);Toni Morrison;1994;Plume;1;159
609804618;Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source;The Onion;1999;Three Rivers Press;1;199
1841721522;New Vegetarian: Bold and Beautiful Recipes for Every Occasion;Celia Brooks Brown;2001;"Ryland Peters &amp; Small Ltd";3;119,9
1879384493;If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself;J. R. Parrish;2003;Cypress House;15;74,5
