ID;Название;Тип;Автор;Автор (ФИО);Возрастное ограничение на книгу;Дата поступления;Цена поступления;Кол-во выдач;Дата списания книги;Инвентарный номер;Выдана до;Жанр книги
22484888;#Selfmama. Лайфхаки для работающей мамы;Электронный текст;Людмила Петрановская;Петрановская Людмила Владимировна;12;15.10.2021 9:22;269;2;;2653843939;;#воспитание детей# детская психология
22473051;#Selfmama. Лайфхаки для работающей мамы;Аудиокнига;Людмила Петрановская;Петрановская Людмила Владимировна;12;13.01.2017 16:24;219;11;;678903563;;#воспитание детей# детская психология
22484888;#Selfmama. Лайфхаки для работающей мамы;Электронный текст;Людмила Петрановская;Петрановская Людмила Владимировна;12;16.09.2017 11:47;199;25;15.10.2021 0:11;869145243;;#воспитание детей# детская психология
22766201;#В постели с твоим мужем. Записки любовницы. Женам читать обязательно!;Электронный текст;Ника Набокова;Набокова Ника;18;01.08.2017 8:59;199;25;02.06.2019 0:19;839634411;;#любовь и отношения# семейная психология
22766201;#В постели с твоим мужем. Записки любовницы. Женам читать обязательно!;Электронный текст;Ника Набокова;Набокова Ника;18;03.07.2021 11:34;223.3;6;;2568319413;27.11.2021 23:59;#любовь и отношения# семейная психология
23575510;#Ваш мальчик – больше любви, меньше паники. Как не сойти с ума, воспитывая сына;Электронный текст;Марианна Милейко;Милейко Марианна;12;24.07.2018 14:06;176;1;;1137821491;;#воспитание детей# детская психология# научно-популярная литература# педагогика# практическая психология
26726584;#Город за изгородью;Электронный текст;Эли Фрей;Фрей Эли;18;07.02.2018 12:27;123.2;6;;991651179;;#современная русская литература
25759504;#Имя для Лис;Электронный текст;Ли Виксен;Виксен Ли;18;20.04.2018 14:02;164;2;;1058157658;;#боевое фэнтези# героическое фэнтези
28514984;#Как не стать лягушкой в кипятке, или Искусство быть счастливой;Электронный текст;Алена Ал-Ас;Ал-Ас Алена;18;26.01.2018 12:31;199;4;;979553781;;#любовь и отношения# семейная психология
29427079;#Как перестать быть овцой. Избавление от страдашек. Шаг за шагом;Электронный текст;Ника Набокова;Набокова Ника;18;05.08.2020 10:15;223.3;10;;2251243351;;#саморазвитие / личностный рост# семейная психология
29427079;#Как перестать быть овцой. Избавление от страдашек. Шаг за шагом;Электронный текст;Ника Набокова;Набокова Ника;18;03.04.2018 13:31;199;25;03.12.2019 0:52;1043084938;;#саморазвитие / личностный рост# семейная психология
28958542;#Любовь, секс, мужики. Перевоспитание плохих мальчиков на дому;Электронный текст;Морена Морана;Морана Морена;18;27.02.2018 15:30;219;2;;1011700209;;#любовь и отношения# о психологии популярно# секс / секс-руководства
24315084;#Мама, хватит орать! Воспитание без наказаний, криков и истерик;Электронный текст;Анна Береснева;Береснева Анна;12;11.11.2017 10:20;199;13;;908942449;;#воспитание детей# детская психология# педагогика
24150420;#Между Огней;Электронный текст;Олли Вингет;Вингет Олли;16;19.03.2018 13:10;176;1;;1030420349;;#любовное фэнтези# социальная фантастика
17161338;#Меня зовут Лис;Электронный текст;Ли Виксен;Виксен Ли;18;08.09.2016 12:01;129;11;;595952474;;#боевое фэнтези# героическое фэнтези
23312250;#Мы, дети золотых рудников;Электронный текст;Эли Фрей;Фрей Эли;18;16.04.2018 9:46;176;3;;1054209250;;#современная русская литература
22559981;#Охотник на волков;Электронный текст;Ли Виксен;Виксен Ли;18;23.10.2017 12:28;176;2;;894960564;;#боевое фэнтези# героическое фэнтези
27305888;#Поколение справедливости;Электронный текст;Ив Престон;Престон Ив ;16;07.03.2018 13:52;159;3;;1019865195;;#боевая фантастика# социальная фантастика
18346165;#Потерянные поколения;Электронный текст;Ив Престон;Престон Ив ;16;27.03.2018 19:13;159;2;;1037550171;;#боевая фантастика# социальная фантастика
24622551;#Сказки чужого дома;Электронный текст;Эл Ригби;Ригби Эл;16;12.03.2018 12:32;159;1;;1024168133;;#героическое фэнтези# детективное фэнтези
22792323;#Я – мама, и я хочу на ручки! Ответы на вопросы, которые сводят родителей с ума;Электронный текст;Мария Варанд;Варанд Мария;16;17.07.2018 12:33;199;1;;1131633109;;#воспитание детей# детская психология
6714042;(Не)совершенная случайность. Как случай управляет нашей жизнью;Электронный текст;Леонард Млодинов;Млодинов Леонард ;12;04.01.2017 11:54;119.9;3;;672057842;;#зарубежная образовательная литература# математика
55845651;(Не)только бизнес;Электронный текст;Лана Мейер;Мейер Лана;18;10.07.2020 17:01;74.5;15;;2225558570;;#остросюжетные любовные романы# современные любовные романы# эротические романы
6053713;0+0=2. Почему вы не богатые, если вы такие умные?;Электронный текст;Андрей Парабеллум;Парабеллум Андрей Алексеевич;16;24.04.2014 10:08;29.95;0;;181668807;;#личная эффективность# личные финансы# мотивация# саморазвитие / личностный рост
11641592;10 Жизненных правил Успешного сотрудника, или как сделать Карьеру!;Электронный текст;Размик Хачатрян;Хачатрян Размик;12;07.06.2016 17:37;0;2;;537244691;;#истории успеха# коучинг# личная эффективность# поиск работы / карьера# саморазвитие / личностный рост
644895;10 Заповедей для Настоящей Женщины;Электронный текст;Юлия Свияш;Свияш Юлия Викторовна;18;07.06.2016 11:59;79.9;3;;536997123;;#любовь и отношения# саморазвитие / личностный рост# семейная психология
148895;10 дней для создания книги. Как быстро написать свой бестселлер;Электронный текст;Андрей Парабеллум;Парабеллум Андрей Алексеевич;16;22.12.2016 12:13;56;3;;663356674;;#просто о бизнесе
7150411;10 мифов Древней Руси. Анти-Бушков, анти-Задорнов, анти-Прозоров;Электронный текст;Владимир Филиппов;Филиппов Владимир Валерьевич;16;08.07.2014 16:09;109.9;0;;203091764;;#научно-популярная литература# общая история
32840030;10.11 Диалектическая концепция познания. Гегель;Аудиокнига;Петр Резвых;Резвых Петр;16;16.09.2020 13:08;44633;2;;2294595089;;#история философии# книги по философии
6508975;100 бизнес-технологий: как поднять компанию на новый уровень;Электронный текст;Роман Черепанов;Черепанов Роман;12;11.02.2014 18:23;195;0;;167295967;;#менеджмент и кадры# просто о бизнесе# управление бизнесом
24622527;100 дней 100 идей. Часть 1;Электронный текст;Любовь Черемисина;Черемисина Любовь;12;01.12.2018 23:53;0;1;;1343569093;;#интернет-маркетинг
6883330;100 километров до любви;Электронный текст;Дарья Лаврова;Лаврова Дарья;12;13.05.2015 10:13;71.92;3;;318803481;;#детская проза# книги для подростков# современные любовные романы
6055728;100 ловушек в личной жизни. Как их распознать и обойти;Электронный текст;Сергей Петрушин;Петрушин Сергей Владимирович;16;30.12.2014 19:51;99.9;0;;267241857;;#семейная психология
23782642;100 лучших логических игр и головоломок;PDF-книга;;;0;29.05.2017 16:47;176;2;;792325451;;#детская познавательная и развивающая литература
6599154;100 лучших мест Санкт-Петербурга;PDF-книга;;;12;18.09.2015 9:54;99.9;3;;364202684;;#архитектура# культурология# общая история# путеводители# энциклопедии
7109041;100 лучших программ для Android;PDF-книга;Виктор Корсаков;Корсаков Виктор;12;19.08.2014 9:12;150;0;;217622854;;#ОС и сети# программы
3090485;100 любимых маленьких сказок;Аудиокнига;Народное творчество;Народное творчество (Фольклор);0;20.09.2018 18:43;0;2;;1195716013;;#сказки
8332406;100 любимых сказок;PDF-книга;В. Г. Дмитриева;Дмитриева Валентина Геннадиевна;0;08.10.2015 9:12;149.9;3;;373907783;;#детские стихи# сказки
8382490;100 любимых стихов и загадок;PDF-книга;В. Г. Дмитриева;Дмитриева Валентина Геннадиевна;0;08.10.2015 9:12;149.9;3;;373907923;;#книги для детей# сказки
10777723;100 научных опытов для детей и взрослых в комнате, на кухне и на даче;Электронный текст;Мария Яковлева;Яковлева Мария Александровна;6;19.12.2015 11:03;139;1;;413308205;;#школьные учебники по чистописанию
11290027;100 ошибок воспитания, которых легко избежать;Электронный текст;Ольга Маховская;Маховская Ольга Ивановна;12;08.08.2017 13:01;164;1;;843473016;;#воспитание детей# педагогика
176962;100 поз для вкусного секса;Электронный текст;Светлана Колосова;Колосова Светлана;18;29.04.2014 13:00;49.9;2;;183562401;;#секс / секс-руководства# эротическая литература
6599205;100 самых красивых мест России;PDF-книга;;;12;29.08.2017 14:14;99.9;1;;856342867;;#география# общая история# путеводители# энциклопедии
14068603;100 секретов работы на планшетах с Android, о которых должен знать каждый;PDF-книга;Марина Дремова;Дремова Марина Сергеевна;12;15.02.2016 11:52;139;1;;454929798;;#интернет# программы# руководства
6537279;100 снов, которые снятся всем, и их истинные значения;Электронный текст;Йен Уоллес;Уоллес Йен;16;24.01.2014 16:05;129.9;1;;163777541;;#зарубежная религиозная и эзотерическая литература# эзотерика / оккультизм
19166340;100 способов изменить жизнь. Часть 1;Электронный текст;Лариса Парфентьева;Парфентьева Лариса;16;17.10.2016 10:14;349;25;26.02.2019 0:20;619521357;;#мотивация# саморазвитие / личностный рост
24507557;100 способов изменить жизнь. Часть 2;Электронный текст;Лариса Парфентьева;Парфентьева Лариса;16;25.08.2017 16:32;399;13;;853908184;;#мотивация# саморазвитие / личностный рост
17044212;100 стихотворений о любви;Электронный текст;Владимир Маяковский;Маяковский Владимир Владимирович;16;19.02.2016 17:32;99.9;3;;458162293;;#стихи и поэзия
18217265;100 стихотворений, которые растрогают самых суровых мужчин (сборник);Электронный текст;Владимир Маяковский;Маяковский Владимир Владимирович;16;19.10.2017 12:52;109;1;;892137172;;#стихи и поэзия
17205367;100 чудес света;PDF-книга;;;0;30.09.2016 9:07;176;1;;608952083;;#география# общая история# энциклопедии
25742451;100% отличник. Метод, который поможет ребенку быстро запоминать и легко учиться;Электронный текст;Екатерина Додонова;Додонова Екатерина Сергеевна;6;03.02.2018 14:55;199;3;;987813939;;#воспитание детей# детская познавательная и развивающая литература
23301788;100% читаю легко. Метод, который научит ребенка читать быстро и с удовольствием;PDF-книга;Екатерина Додонова;Додонова Екатерина Сергеевна;6;03.02.2018 10:43;169;1;;987581419;;#воспитание детей# детская познавательная и развивающая литература
